<<<<<<< HEAD
state,abbreviation,2011,2012,2013,2014
Colorado,CO,17.2%,27.3%,36.5%,39.4%
Connecticut,CT,14.7%,21.9%,33.7%,36.0%
Delaware,DE,10.3%,14.5%,28.6%,30.2%
Florida,FL,14.2%,18.3%,28.4%,30.4%
Georgia,GA,14.0%,20.3%,30.4%,31.7%
Hawaii,HI,14.8%,17.3%,39.8%,44.0%
Idaho,ID,11.3%,22.2%,27.1%,29.1%
Illinois,IL,13.2%,20.1%,33.3%,37.0%
Indiana,IN,11.0%,17.1%,26.3%,28.6%
Iowa,IA,13.4%,21.2%,29.7%,32.7%
Kansas,KS,16.0%,19.4%,31.5%,33.0%
Kentucky,KY,10.3%,16.1%,29.9%,30.8%
Louisiana,LA,16.0%,19.1%,25.3%,27.5%
Maine,ME,11.3%,17.8%,27.1%,31.5%
Maryland,MD,17.4%,23.8%,34.4%,36.0%
Massachusetts,MA,13.2%,19.4%,36.9%,39.2%
Michigan,MI,11.7%,20.4%,28.5%,31.7%
Minnesota,MN,16.4%,21.9%,33.5%,37.7%
Mississippi,MS,10.0%,14.8%,21.8%,21.2%
Missouri,MO,14.4%,18.0%,28.7%,32.2%
Montana,MT,9.9%,13.9%,21.1%,23.6%
Nebraska,NE,12.7%,19.3%,27.2%,33.2%
Nevada,NV,14.3%,19.5%,31.5%,33.5%
New Hampshire,NH,12.6%,21.9%,32.5%,35.7%
New Jersey,NJ,13.6%,20.2%,36.2%,35.3%
New Mexico,NM,10.4%,13.0%,25.4%,25.3%
New York,NY,12.0%,18.3%,29.8%,30.7%
North Carolina,NC,11.5%,16.7%,29.5%,31.6%
North Dakota,ND,13.1%,19.7%,33.8%,34.8%
Ohio,OH,11.5%,15.9%,29.0%,33.1%
Oklahoma,OK,13.2%,17.1%,27.7%,30.0%
Oregon,OR,13.4%,26.7%,33.8%,38.8%
Pennsylvania,PA,10.6%,19.5%,29.7%,32.3%
Rhode Island,RI,12.8%,18.6%,32.4%,34.7%
South Carolina,SC,10.9%,18.5%,26.0%,28.9%
South Dakota,SD,10.1%,15.8%,27.6%,31.3%
Tennessee,TN,13.0%,16.7%,27.5%,29.5%
Texas,TX,13.2%,19.2%,28.9%,30.4%
Utah,UT,10.6%,20.0%,35.0%,37.7%
Vermont,VT,10.6%,17.3%,26.9%,27.6%
Virginia,VA,12.8%,17.3%,34.3%,37.9%
Washington,WA,18.4%,24.2%,39.0%,42.7%
West Virginia,WV,8.7%,13.2%,24.9%,25.4%
Wisconsin,WI,12.1%,16.0%,30.1%,32.3%
Wyoming,WY,10.7%,18.6%,28.5%,27.5%
>>>>>>> 1fca9f4696cc664e4e0757b98223cb8427f68d60
